City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Hithadhoo,MV,82.87,overcast clouds,-0.6,73.0833,Scoop Guest House
10,Bubaque,GW,78.87,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
12,Puerto Baquerizo Moreno,EC,70.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
14,Yarada,IN,79.12,mist,17.65,83.2667,Vishranti
18,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
19,Sao Filipe,CV,79.86,broken clouds,14.8961,-24.4956,Hotel Xaguate
22,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
23,Puerto Carreno,CO,85.64,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
26,Chuy,UY,71.24,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
28,Araguari,BR,80.89,overcast clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
31,Ewo,CG,77.14,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
35,Arraial Do Cabo,BR,73.26,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
37,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
39,Amboasary,MG,71.44,broken clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
40,Jacmel,HT,93.04,few clouds,18.2342,-72.5347,Historic Hotel Florita
44,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
45,Rocha,UY,71.04,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
46,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
47,Urucara,BR,88.07,heavy intensity rain,-2.5364,-57.76,Pousada Maria Bonita
49,Morondava,MG,75.76,broken clouds,-20.2833,44.2833,La Case Bambou
57,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
59,Hillsborough,US,70.03,mist,37.5741,-122.3794,Hyatt Regency San Francisco Airport
63,Teofilo Otoni,BR,73.58,overcast clouds,-17.8575,-41.5053,Hotel Nobre Palace
64,Alta Floresta,BR,89.42,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
66,Ribeira Grande,PT,70.2,light rain,38.5167,-28.7,Quinta da Meia Eira
71,Sao Jose Da Coroa Grande,BR,78.31,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
78,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
84,Jibuti,DJ,78.22,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
87,Agboville,CI,74.89,overcast clouds,5.928,-4.2132,hotel LE PRESTIGE
88,Juazeiro,BR,93.38,clear sky,-9.4117,-40.4986,JB Hotel
89,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Lagoa,PT,70.0,overcast clouds,39.05,-27.9833,Casa Das Faias
93,El Rosario,MX,91.15,clear sky,24.2556,-107.1828,Mi casa
96,Saint-Philippe,RE,71.15,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Diego De Almagro,CL,82.58,clear sky,-26.3667,-70.05,hotel luna del desierto
103,Hobyo,SO,80.47,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
106,Bengkulu,ID,75.83,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
108,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
113,Ambilobe,MG,75.96,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
115,Dhidhdhoo,MV,80.01,overcast clouds,6.8833,73.1,Dhidhoo beach
116,Tutoia,BR,87.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
120,Srivardhan,IN,77.97,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
121,Bongouanou,CI,73.33,overcast clouds,6.6486,-4.1992,Résidence KABRAN EHIA ELISABETH
123,Menongue,AO,71.73,overcast clouds,-14.6585,17.691,Ritz Lauca
124,Laguna,US,74.23,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
128,Onda,ES,73.65,overcast clouds,39.9667,-0.25,Motel Shhh
132,Oriximina,BR,91.54,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
135,San Cristobal,VE,77.18,light rain,7.7669,-72.225,Posada Villaven C.A.
136,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
141,Inhambane,MZ,71.58,clear sky,-23.865,35.3833,Oceano
143,Salinopolis,BR,81.86,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
147,Campoverde,PE,91.09,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
148,Porto Belo,BR,72.16,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
150,Amaraji,BR,79.45,broken clouds,-8.3831,-35.4525,Monsieur
153,Ponta Do Sol,PT,73.71,scattered clouds,32.6667,-17.1,Hotel do Campo
154,Codajas,BR,86.18,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
159,Araripina,BR,88.43,clear sky,-7.5761,-40.4983,Hotel Eco Recanto da Serra
161,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
163,Itupiranga,BR,93.52,scattered clouds,-5.1347,-49.3267,Hotel Panorama
165,Vila Franca Do Campo,PT,74.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
174,Diu,IN,75.7,overcast clouds,20.7141,70.9822,Hotel Relax Inn
175,Turayf,SA,70.05,broken clouds,31.6725,38.6637,Turaif
176,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
180,Mana,GF,82.44,few clouds,5.6592,-53.7767,LE SAMANA
183,Belle Glade,US,80.02,overcast clouds,26.6845,-80.6676,Mid-City Trailer Park
189,Sharjah,AE,85.98,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
190,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
191,Meulaboh,ID,75.56,overcast clouds,4.1363,96.1285,Kost Pria
193,Road Town,VG,87.84,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
195,Santa Isabel Do Rio Negro,BR,85.71,overcast clouds,-0.4139,-65.0192,Hotel GSA
200,Carutapera,BR,81.12,scattered clouds,-1.195,-46.02,Lidera
205,Acari,PE,79.5,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
209,Santa Marta,CO,87.85,broken clouds,11.2408,-74.199,Casa de Isabella
210,Boa Viagem,BR,86.07,overcast clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
211,Dingle,PH,74.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
212,George Town,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
213,Mocuba,MZ,70.2,clear sky,-16.8392,36.9856,Phama Lodge
214,Marsabit,KE,72.72,broken clouds,2.3284,37.9899,Chicho Hotel
222,Ponta Delgada,PT,74.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
223,La Plata,AR,87.71,clear sky,-34.9215,-57.9545,Hotel Corregidor
225,Damietta,EG,76.89,broken clouds,31.4165,31.8133,SULIMAN INN
229,Marsh Harbour,BS,81.16,few clouds,26.5412,-77.0636,Abaco Beach Resort
231,Tarauaca,BR,93.33,broken clouds,-8.1614,-70.7656,Flat Temporada
232,Kilindoni,TZ,78.91,few clouds,-7.9139,39.6668,Bustani B&B
233,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
234,Hambantota,LK,78.42,broken clouds,6.1241,81.1185,Bungalow 63
238,Kavaratti,IN,81.97,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
239,Maxixe,MZ,71.42,clear sky,-23.8597,35.3472,Oceano
241,Canguaretama,BR,84.69,clear sky,-6.38,-35.1289,Pousada do Italiano
243,Guarapari,BR,73.29,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
244,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
246,Saint-Joseph,RE,70.16,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
247,Jalu,LY,70.14,clear sky,29.0331,21.5482,صاحبة الفخامة
248,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
250,Bilma,NE,83.71,few clouds,18.6853,12.9164,Expeditions Ténére voyages
