,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,18.41,clear sky
1,Ushuaia,AR,-54.8,-68.3,51.46,46,0,18.41,clear sky
2,Vardo,NO,70.3705,31.1107,38.86,76,93,7.47,overcast clouds
3,Qaanaaq,GL,77.484,-69.3632,2.16,53,0,8.72,clear sky
4,Hithadhoo,MV,-0.6,73.0833,82.87,75,100,18.43,overcast clouds
5,Nioro,GM,13.35,-15.75,74.82,77,100,6.08,overcast clouds
6,Cayeli,TR,41.0923,40.7292,59.16,72,40,2.39,scattered clouds
7,Oranjemund,NA,-28.55,16.4333,60.64,90,0,6.91,clear sky
8,Dikson,RU,73.5069,80.5464,6.87,92,100,16.6,overcast clouds
9,Jamestown,US,42.097,-79.2353,56.52,88,90,1.99,overcast clouds
10,Bubaque,GW,11.2833,-15.8333,78.87,79,100,5.61,overcast clouds
11,Nalut,LY,30.3333,10.85,68.56,36,9,5.19,clear sky
12,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.79,83,75,5.75,broken clouds
13,Klaksvik,FO,62.2266,-6.589,47.32,92,100,8.68,overcast clouds
14,Yarada,IN,17.65,83.2667,79.12,100,20,2.3,mist
15,Gazanjyk,TM,39.2446,55.5154,57.06,48,92,9.06,overcast clouds
16,Znamenskoye,RU,57.1281,73.8282,26.04,79,100,7.74,light snow
17,Adrar,MR,20.5022,-10.0711,83.48,16,100,11.88,overcast clouds
18,Victoria,HK,22.2855,114.1577,75.33,83,97,1.01,overcast clouds
19,Sao Filipe,CV,14.8961,-24.4956,79.86,75,77,10.18,broken clouds
20,Leshukonskoye,RU,64.8989,45.7622,31.57,97,100,4.25,snow
21,Mukerian,IN,31.9506,75.6158,63.19,56,0,3.4,clear sky
22,Talara,PE,-4.5772,-81.2719,75.96,60,0,12.66,clear sky
23,Puerto Carreno,CO,6.189,-67.4859,85.64,68,97,4.12,overcast clouds
24,Foumbot,CM,5.5079,10.6356,65.5,94,76,3.58,light rain
