City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,0,Punta Arenas,CL,2021-10-28 00:44:50,-53.15,-70.9167,48.31,61,0,4.61
1,1,Qaanaaq,GL,2021-10-28 00:44:51,77.484,-69.3632,20.93,95,100,10.25
2,2,Vasyurinskaya,RU,2021-10-28 00:44:51,45.1181,39.424,31.89,69,0,4.29
3,3,Carnarvon,AU,2021-10-28 00:44:51,-24.8667,113.6333,68.07,40,98,14.97
4,4,Muyezerskiy,RU,2021-10-28 00:44:52,63.9333,31.65,29.77,96,100,7.14
5,5,Shadrinsk,RU,2021-10-28 00:44:52,56.0852,63.6335,32.4,81,100,12.21
6,6,Ushuaia,AR,2021-10-28 00:42:46,-54.8,-68.3,47.86,53,20,12.66
7,7,Araouane,ML,2021-10-28 00:44:52,18.9048,-3.5265,86.16,19,69,7.02
8,8,Abu Dhabi,AE,2021-10-28 00:44:53,24.4667,54.3667,81.03,62,0,8.81
9,9,Port Elizabeth,ZA,2021-10-28 00:44:53,-33.918,25.5701,64.69,88,0,9.22
10,10,Curanilahue,CL,2021-10-28 00:44:54,-37.4667,-73.35,49.3,93,0,6.06
11,11,Clyde River,CA,2021-10-28 00:41:13,70.4692,-68.5914,27.16,83,100,2.93
12,12,Baracoa,CU,2021-10-28 00:44:54,20.3467,-74.4958,77.86,86,13,2.73
13,13,Bonavista,CA,2021-10-28 00:44:54,48.6499,-53.1147,40.12,65,100,14.81
14,14,Saldanha,ZA,2021-10-28 00:44:55,-33.0117,17.9442,60.85,97,20,9.62
15,15,Lerwick,GB,2021-10-28 00:44:55,60.1545,-1.1494,51.8,90,100,9.44
16,16,Tiznit,MA,2021-10-28 00:44:55,29.5833,-9.5,58.6,79,18,2.04
17,17,Georgetown,MY,2021-10-28 00:44:56,5.4112,100.3354,82.33,90,20,1.01
18,18,Kibungo,RW,2021-10-28 00:44:56,-2.1597,30.5427,61.72,90,86,2.39
19,19,Beira,MZ,2021-10-28 00:44:57,-19.8436,34.8389,77.09,69,20,18.01
20,20,Ginir,ET,2021-10-28 00:44:57,7.1333,40.7,55.72,83,11,3.83
21,21,Victoria,HK,2021-10-28 00:43:54,22.2855,114.1577,80.04,78,65,1.01
22,22,Jamestown,US,2021-10-28 00:44:22,42.097,-79.2353,47.84,92,1,1.99
23,23,Saint George,US,2021-10-28 00:44:57,37.1041,-113.5841,68.47,35,1,1.99
24,24,Lagoa,PT,2021-10-28 00:44:58,39.05,-27.9833,67.35,74,100,23.78
25,25,Souillac,MU,2021-10-28 00:44:58,-20.5167,57.5167,71.37,88,20,4.61
26,26,Bara,NG,2021-10-28 00:44:58,10.3744,10.7288,78.21,43,51,0.2
27,27,Cap Malheureux,MU,2021-10-28 00:44:59,-19.9842,57.6142,71.47,73,0,1.99
28,28,Hithadhoo,MV,2021-10-28 00:44:59,-0.6,73.0833,82.47,69,94,14.81
29,29,Bredasdorp,ZA,2021-10-28 00:44:59,-34.5322,20.0403,61.92,94,100,4.61
30,30,Chapais,CA,2021-10-28 00:45:00,49.7834,-74.8492,31.78,79,18,5.1
31,31,Mwinilunga,ZM,2021-10-28 00:45:00,-11.7358,24.4293,63.59,81,17,3.58
32,32,Campo Maior,BR,2021-10-28 00:45:01,-4.8278,-42.1686,85.26,41,67,5.26
33,33,Ostrovnoy,RU,2021-10-28 00:45:01,68.0531,39.5131,30.94,63,100,13.53
34,34,Tasiilaq,GL,2021-10-28 00:45:02,65.6145,-37.6368,32.16,70,18,6.73
35,35,Raudeberg,NO,2021-10-28 00:45:02,61.9875,5.1352,54.19,92,100,5.01
36,36,Dolgorukovo,RU,2021-10-28 00:45:03,52.3195,38.3453,38.08,94,100,7.76
37,37,Moose Factory,CA,2021-10-28 00:45:04,51.2585,-80.6094,37.4,100,1,6.91
38,38,Kamenka,RU,2021-10-28 00:45:05,51.3223,42.7678,35.51,58,86,8.23
39,39,Port Alfred,ZA,2021-10-28 00:45:05,-33.5906,26.891,66.9,84,100,26.13
40,40,Manadhoo,MV,2021-10-28 00:45:06,5.7667,73.3833,80.42,76,98,6.35
41,41,Saint-Philippe,RE,2021-10-28 00:45:07,-21.3585,55.7679,69.39,76,22,5.55
42,42,Aleksandrov Gay,RU,2021-10-28 00:45:07,50.147,48.5704,34.65,65,0,12.24
43,43,Mossendjo,CG,2021-10-28 00:45:07,-2.9506,12.7261,69.37,99,100,2.44
44,44,Parauna,BR,2021-10-28 00:45:08,-16.9478,-50.4486,73.38,74,100,4.74
45,45,East London,ZA,2021-10-28 00:45:08,-33.0153,27.9116,67.01,83,100,22.91
46,46,Kaliyaganj,IN,2021-10-28 00:45:08,25.6333,88.3167,71.06,84,0,3.36
47,47,Marondera,ZW,2021-10-28 00:45:09,-18.1853,31.5519,55.49,93,44,11.05
48,48,Pangnirtung,CA,2021-10-28 00:45:09,66.1451,-65.7125,25.09,85,99,2.93
49,49,Upernavik,GL,2021-10-28 00:45:09,72.7868,-56.1549,20.62,81,29,5.32
50,50,Wattegama,LK,2021-10-28 00:45:10,6.7989,81.4808,74.32,88,100,1.43
51,51,Rawson,AR,2021-10-28 00:40:52,-43.3002,-65.1023,69.22,36,0,24.83
52,52,Torbay,CA,2021-10-28 00:45:10,47.6666,-52.7314,39.58,88,75,12.66
53,53,Olafsvik,IS,2021-10-28 00:45:11,64.8945,-23.7142,40.05,95,100,28.72
54,54,Pitsunda,GE,2021-10-28 00:45:11,43.1592,40.3378,44.78,53,0,4.36
55,55,Arraial Do Cabo,BR,2021-10-28 00:45:11,-22.9661,-42.0278,72.21,91,100,15.5
56,56,Vallenar,CL,2021-10-28 00:45:12,-28.5708,-70.7581,67.57,46,6,1.99
57,57,Niquero,CU,2021-10-28 00:45:12,20.0431,-77.5828,80.69,76,14,10.0
58,58,Vologda,RU,2021-10-28 00:45:12,59.2187,39.8886,40.78,92,100,9.24
59,59,Muisne,EC,2021-10-28 00:45:13,0.6,-80.0333,75.88,89,100,9.57
60,60,Asyut,EG,2021-10-28 00:45:13,27.181,31.1837,73.9,28,19,1.28
61,61,Barahona,DO,2021-10-28 00:45:13,18.2085,-71.1008,79.32,79,55,5.44
62,62,Kindu,CD,2021-10-28 00:45:14,-2.95,25.95,69.93,99,100,1.07
63,63,Cape Town,ZA,2021-10-28 00:44:48,-33.9258,18.4232,62.89,86,40,8.05
64,64,Dunmore Town,BS,2021-10-28 00:45:14,25.5,-76.65,81.09,74,82,12.64
65,65,Namibe,AO,2021-10-28 00:45:15,-15.1961,12.1522,67.01,68,77,9.31
66,66,Mandasa,IN,2021-10-28 00:45:15,18.8667,84.4667,75.63,84,19,6.87
67,67,Kjollefjord,NO,2021-10-28 00:45:15,70.9457,27.3465,28.22,69,0,10.36
68,68,Dikson,RU,2021-10-28 00:45:16,73.5069,80.5464,3.94,97,50,5.7
69,69,Sao Filipe,CV,2021-10-28 00:45:16,14.8961,-24.4956,79.05,76,100,9.69
